times,real number of connections,estimated number of connections
1542365738.117505,1,1
1542365738.131597,1,1
1542365738.144419,1,1
1542365738.146354,1,1
1542365738.176981,1,1
1542365738.178475,1,1
1542365738.191371,1,1
1542365738.209783,1,1
1542365738.214152,1,1
1542365738.264346,1,1
1542365738.291771,1,1
1542365738.293056,1,1
1542365738.295712,1,1
1542365738.296906,1,1
1542365738.298915,1,1
1542365738.301414,1,1
1542365738.303621,1,1
1542365738.304542,1,1
1542365738.305476,1,1
1542365738.3064,1,1
1542365738.306828,1,1
1542365738.324161,1,1
1542365738.330603,1,1
1542365738.331936,1,1
1542365738.333651,1,1
1542365738.352963,1,1
1542365738.353028,1,1
1542365738.353048,1,1
1542365738.354926,1,1
1542365738.354964,1,1
1542365738.355798,1,1
1542365738.356722,1,1
1542365738.357653,1,1
1542365738.358067,1,1
1542365738.359643,1,1
1542365738.360559,1,1
1542365738.361564,1,1
1542365738.362433,1,1
1542365738.362841,1,1
1542365738.364433,1,1
1542365738.365337,1,1
1542365738.366265,1,1
1542365738.367274,1,1
1542365738.367622,1,1
1542365738.370533,1,1
1542365738.372443,1,1
1542365738.373368,1,1
1542365738.373926,1,1
1542365738.375242,1,1
1542365738.375645,1,1
1542365738.377007,1,1
1542365738.381828,1,1
1542365738.466952,1,1
1542365738.488785,1,1
1542365738.488934,1,1
1542365738.488958,1,1
1542365738.489152,1,1
1542365738.500366,1,1
1542365738.584154,1,1
1542365738.588875,1,1
1542365738.630574,1,1
1542365738.632896,1,1
1542365738.644757,1,1
1542365738.64861,1,1
1542365738.700467,1,1
1542365738.726012,1,1
1542365738.726882,1,1
1542365738.727841,1,1
1542365738.728738,1,1
1542365738.729162,1,1
1542365738.776166,1,1
1542365738.786555,1,1
1542365738.792151,1,1
1542365738.793449,1,1
1542365738.807985,1,1
1542365738.8093,1,1
1542365738.812204,1,1
1542365738.813615,1,1
1542365738.816144,1,1
1542365738.817981,1,1
1542365738.818216,1,1
1542365738.853757,1,1
1542365738.86025,1,1
1542365738.860279,1,1
1542365738.860294,1,1
1542365738.881306,1,1
1542365738.88259,1,1
1542365738.884558,1,1
1542365738.888009,1,1
1542365738.889291,1,1
1542365738.90783,1,1
1542365738.909174,1,1
1542365738.909214,1,1
1542365738.912297,1,1
1542365738.913627,1,1
1542365738.916158,1,1
1542365738.917478,1,1
1542365738.920035,1,1
1542365738.921345,1,1
1542365738.927769,1,1
1542365738.92908,1,1
1542365738.931593,1,1
1542365738.932915,1,1
1542365738.935451,1,1
1542365738.936794,1,1
1542365738.939074,1,1
1542365738.941137,1,1
1542365738.94153,1,1
1542365738.95236,1,1
1542365738.953615,1,1
1542365738.956205,1,1
1542365738.998244,1,1
1542365739.101312,1,1
1542365739.103899,1,1
1542365739.10651,1,1
1542365739.108614,1,1
1542365739.112068,1,1
1542365739.117032,1,1
1542365739.12426,1,1
1542365739.127922,1,1
1542365739.130005,1,1
1542365739.13231,1,1
1542365739.137728,1,1
1542365739.140124,1,1
1542365739.151806,1,1
1542365739.155818,1,1
1542365739.157119,1,1
1542365739.194324,1,1
1542365739.198172,1,1
1542365739.202625,1,1
1542365739.206487,1,1
1542365739.215854,1,1
1542365739.251694,1,1
1542365739.267066,1,1
1542365739.32123,1,1
1542365739.329309,1,1
1542365739.3696,1,1
1542365739.371411,1,1
1542365739.394022,1,1
1542365739.396497,1,1
1542365739.397822,1,1
1542365739.600691,1,1
1542365739.602891,1,1
1542365739.602942,1,1
1542365739.602991,1,1
1542365739.634782,1,1
1542365739.634847,1,1
1542365739.650722,1,1
1542365739.659992,1,1
1542365739.663815,1,1
1542365739.667704,1,1
1542365739.669,1,1
1542365739.678295,1,1
1542365739.723688,1,1
1542365739.723783,1,1
1542365739.723839,1,1
1542365739.723885,1,1
1542365739.723929,1,1
1542365739.724888,1,1
1542365739.726193,1,1
1542365739.742378,1,1
1542365739.742918,1,1
1542365739.743497,1,1
1542365739.745117,1,1
1542365739.746775,1,1
1542365739.746834,1,1
1542365739.748292,1,1
1542365739.749422,1,1
1542365739.751672,1,1
1542365739.753919,1,1
1542365739.754052,1,1
1542365739.755295,1,1
1542365739.774607,1,1
1542365739.774744,1,1
1542365739.792228,1,1
1542365739.792302,1,1
1542365739.805345,1,1
1542365739.81426,1,1
1542365739.814297,1,1
1542365739.834387,1,1
1542365739.835268,1,1
1542365739.836193,1,1
1542365739.837126,1,1
1542365739.837539,1,1
1542365739.838599,1,1
1542365739.843524,1,1
1542365739.844455,1,1
1542365739.845373,1,1
1542365739.846312,1,1
1542365739.928522,1,1
1542365739.928559,1,1
1542365739.928588,1,1
1542365739.928634,1,1
1542365740.022953,1,1
1542365740.039737,1,1
1542365740.046098,1,1
1542365740.046993,1,1
1542365740.05907,1,1
1542365740.060326,1,1
1542365740.062759,1,1
1542365740.100727,1,1
1542365740.101983,1,1
1542365740.10217,1,1
1542365740.128414,1,1
1542365740.135613,1,1
1542365740.158674,1,1
1542365740.177001,1,1
1542365740.184263,1,1
1542365740.184332,1,1
1542365740.184352,1,1
1542365740.184365,1,1
1542365740.184383,1,1
1542365740.196642,1,1
1542365740.1985,1,1
1542365740.216112,1,1
1542365740.217435,1,1
1542365740.220069,1,1
1542365740.221329,1,1
1542365740.254995,1,1
1542365740.256236,1,1
1542365740.258878,1,1
1542365740.280297,1,1
1542365740.289721,1,1
1542365740.290954,1,1
1542365740.297186,1,1
1542365740.311625,1,1
1542365740.515784,1,1
1542365740.519872,1,1
1542365740.526869,1,1
1542365740.528994,1,1
1542365740.540385,1,1
1542365740.553776,1,1
1542365740.556496,1,1
1542365740.565321,1,1
1542365740.56785,1,1
1542365740.575864,1,1
1542365740.587338,1,1
1542365740.613211,1,1
1542365740.618292,1,1
1542365740.661006,1,1
1542365740.711468,1,1
1542365740.712688,1,1
1542365740.726179,1,1
1542365740.730251,1,1
1542365740.751931,1,1
1542365740.783647,1,1
1542365740.801201,1,1
1542365740.822623,1,1
1542365740.836673,1,1
1542365740.846071,1,1
1542365740.860845,1,1
1542365740.909259,1,1
1542365740.960702,1,1
1542365740.993725,1,1
1542365740.995032,1,1
1542365741.038683,1,1
1542365741.0478,1,1
1542365741.054785,1,1
1542365741.056134,1,1
1542365741.101839,1,1
1542365741.108347,1,1
1542365741.136318,1,1
1542365741.142821,1,1
1542365741.146348,1,1
1542365741.163953,1,1
1542365741.281219,1,1
1542365741.29095,1,1
1542365741.291541,1,1
1542365741.303084,1,1
1542365741.304372,1,1
1542365741.322917,1,1
1542365741.324182,1,1
1542365741.326163,1,1
1542365741.327049,1,1
1542365741.328023,1,1
1542365741.3526,1,1
1542365741.410453,1,1
1542365741.421568,1,1
1542365741.422456,1,1
1542365741.4234,1,1
1542365741.424307,1,1
1542365741.424723,1,1
